created_by,created_date,date_on_document,client_name,application_type,application_fee,email,phone,add_taxes,amount_1,date_1,amount_2,date_2,amount_3,date_3,amount_4,date_4,amount_5,date_5,amount_6,date_6,amount_7,date_7,amount_8,date_8,amount_9,date_9,amount_10,date_10,amount_11,date_11,amount_12,date_12,file_format,is_active
FARABI-AMCAIM,2024-Feb-22 11:42 AM,1/3/2024,Amira Henderson,PGWP,2000,amirahenderson@email.com,4319774452,True,1000.0,1/4/2024,1000.0,1/5/2024,,,,,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 11:42 AM,1/3/2024,Ross Lawrence,EOI,3000,rosslawrence@email.com,4317241487,True,375.0,1/4/2024,375.0,1/5/2024,375.0,1/6/2024,375.0,1/7/2024,375.0,1/8/2024,375.0,1/9/2024,375.0,1/10/2024,375.0,1/11/2024,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 11:42 AM,1/3/2024,Sam Collins,MPNP,1000,samcollins@email.com,2047425241,True,1000.0,1/4/2024,,,,,,,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 12:14 PM,1/3/2024,Iris Heaton,MPNP,2000,irisheaton@email.com,4317180758,True,2000.0,1/4/2024,,,,,,,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 12:14 PM,1/3/2024,Louis Waller,PGWP,3000,louiswaller@email.com,4318412219,True,333.33,1/4/2024,333.33,1/5/2024,333.33,1/6/2024,333.33,1/7/2024,333.33,1/8/2024,333.33,1/9/2024,333.33,1/10/2024,333.33,1/11/2024,333.33,1/12/2025,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 12:14 PM,1/3/2024,Leroy Huseman,PGWP,2000,leroyhuseman@email.com,4318753938,True,500.0,1/4/2024,500.0,1/5/2024,500.0,1/6/2024,500.0,1/7/2024,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 12:14 PM,1/3/2024,Jason Gard,PR,2000,jasongard@email.com,2043316555,True,400.0,1/4/2024,400.0,1/5/2024,400.0,1/6/2024,400.0,1/7/2024,400.0,1/8/2024,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 12:14 PM,1/3/2024,Sabrina Hohnstein,EOI,4000,sabrinahohnstein@email.com,2041647175,True,4000.0,1/4/2024,,,,,,,,,,,,,,,,,,,,,,,DOCX,True

DESKTOP-ASCII,2024-Feb-26 04:29 AM,1/3/2024,Emily Brittain,EOI,1000,emilybrittain@email.com,4311629696,True,333.33,1/4/2024,333.33,1/5/2024,333.33,1/6/2024,,,,,,,,,,,,,,,,,,,DOCX,False
